"Salary_Cap_Perc","pts","bird_rights","blk_pct","rookie_contract","US_Player","tov","efg_pct","ft_pct","pos_SG"
0.043880708,13.5,0,2.5,1,1,2.3,0.473,0.661,0
0.043333029,20.6,0,3.3,1,1,3.2,0.476,0.713,0
0.045518118,16.5,0,0.8,1,1,3,0.464,0.817,0
0.061103747,13.6,0,0.3,1,1,2.6,0.419,0.795,0
0.182481752,14.8,0,0.6,0,1,2.6,0.463,0.832,0
0.022184699,12,0,6.1,1,0,1.7,0.519,0.8,0
0.021802007,16.5,0,6.3,1,0,2.8,0.479,0.79,0
0.033802817,6.4,0,0.5,0,1,1.7,0.413,0.631,0
0.076470588,4.3,0,0.2,0,1,1.6,0.344,0.528,0
0.09079114,4.1,0,0.4,0,1,1.7,0.356,0.66,0
0.079778824,5.9,0,0.9,1,1,1.7,0.449,0.634,0
0.097909712,17.1,0,0.8,1,1,2.8,0.478,0.71,0
0.25,22.9,1,0.8,0,1,3.2,0.462,0.673,0
0.007830988,3.7,0,1.1,0,1,0.5,0.474,0.733,0
0.014568408,7.8,0,0.9,0,1,1.3,0.397,0.834,0
0.023291058,4.5,0,1.4,1,0,1.7,0.457,0.602,1
0.023025882,5.1,0,5.3,1,1,0.8,0.493,0.606,0
0.02612103,6.2,0,4.6,1,1,0.8,0.51,0.633,0
0.008928704,2.1,0,1.1,0,1,0.6,0.323,0.611,0
0.014587048,0.8,0,0,0,1,0.2,0.25,1,0
0.015138663,9.6,0,0.9,0,1,1.1,0.531,0.878,0
0.020605839,4.4,0,2.7,1,1,0.5,0.475,0.75,0
0.007830988,2.1,0,0.5,0,1,0.9,0.366,0.733,0
0.012724665,3.1,0,1.9,0,1,0.8,0.444,0.833,0
0.018248175,3.5,0,1.2,0,1,0.6,0.417,0.829,0
0.007830988,3,0,0.2,0,0,0.6,0.441,0.722,0
0.018248175,12.6,0,0.2,0,0,2.2,0.466,0.804,0
0.012857641,15.5,0,1.5,1,0,1.8,0.524,0.768,0
0.073658759,21,0,1,1,1,3,0.449,0.777,0
0.041687567,15.4,0,0.9,1,1,2.5,0.432,0.824,0
0.041165146,9.2,0,0.5,1,1,1.3,0.388,0.756,0
0.002100988,1.1,0,0,0,1,0.7,0.273,1,1
0.014568408,3.4,0,7.8,0,1,0.7,0.443,0.589,0
0.066407847,11.5,0,3.1,1,1,1.4,0.463,0.701,0
0.05462135,6.1,0,2.9,1,1,1.9,0.46,0.697,0
0.047143248,8.6,0,1.1,1,1,1.2,0.521,0.7,0
0.011323529,9.5,0,0.1,0,1,1.7,0.462,0.729,0
0.084507042,12,0,0.1,0,1,1.8,0.463,0.692,0
0.077647059,12.1,0,0.3,0,1,1.6,0.553,0.692,0
0.089394353,7.1,0,0.2,0,1,1.2,0.454,0.816,0
0.088959854,8.4,0,0.1,0,1,1.4,0.48,0.753,0
0.037041176,8.4,0,1.3,1,1,1.8,0.48,0.751,0
0.038139718,10,0,0.5,1,1,1.5,0.479,0.774,0
0.051395893,16.8,0,0.6,1,1,2.3,0.484,0.802,1
0.159671533,20.7,0,0.4,0,1,2.8,0.485,0.848,0
0.024262774,1.8,0,2.8,1,1,0.6,0.292,0.455,1
0.008677659,3.4,0,5.1,0,0,0.6,0.483,0.518,0
0.012857641,5.7,0,6.1,0,0,0.6,0.524,0.492,0
0.080048451,9.4,0,4.1,0,1,1.8,0.506,0.521,0
0.071878588,9.5,0,3.2,0,1,2,0.484,0.62,0
0.094222194,10.9,0,2.1,0,1,1.6,0.489,0.642,0
0.008369776,4.6,0,0.9,0,0,0.6,0.487,0.807,0
0.082020985,1.4,0,7.2,1,0,0.4,0.262,0.583,0
0.026463504,3.8,0,2.3,0,1,0.7,0.474,0.713,0
0.059357746,5.1,0,1.6,0,1,1.2,0.427,0.736,0
0.043352471,1.4,0,6.7,1,0,0.7,0.414,0.2,0
0.048331204,2.3,0,5,1,0,0.5,0.388,0.6,0
0.023327324,2.2,0,0.6,1,1,0.7,0.346,0.684,1
0.020947765,4.9,0,1.7,1,1,1,0.388,0.698,1
0.023647786,4.6,0,0.8,1,1,0.8,0.408,0.691,1
0.036863298,11.4,0,0.6,1,1,1.5,0.443,0.676,0
