"Salary_Cap_Perc","pts","rookie_contract","drb","age","bird_rights","g","tov","US_Player","ft_pct","stl","ast","blk","ts_pct","pos_PG","fta","ws","vorp","orb","orb_pct","ast_pct","blk_pct","pos_PF"
0.017485529,5.2,1,0.8,23,0,51,0.9,1,0.857,0.3,1.7,0.1,0.535,1,1,1.4,0.3,0.3,2.5,23.5,0.6,0
0.007678645,4.3,1,1.6,23,0,61,0.9,1,0.566,0.3,0.7,0.3,0.529,0,1.6,0.8,-0.2,1.1,12.5,11.4,2,0
0.012125375,3.5,1,2.4,24,0,56,0.7,1,0.576,0.3,0.8,0.3,0.508,0,1.1,1.3,-0.2,1.5,13.5,9.6,1.8,0
0.034641021,4.2,1,0.8,23,0,56,1,1,0.792,0.5,2,0,0.455,1,0.9,-0.1,-0.7,0.2,1.6,20.4,0,0
0.035304703,2.9,1,0.9,24,0,55,0.5,1,0.817,0.2,1.6,0.1,0.49,1,1.1,0.7,-0.1,0.1,1.3,23.4,0.4,0
0.070879346,4,1,1.2,24,0,52,0.6,1,0.739,0.2,0.8,0.1,0.448,0,0.4,0,-0.5,0.3,3.1,9.4,0.5,0
0.067334172,10.1,1,6.6,21,0,81,1.7,0,0.731,0.7,1.5,0.9,0.539,0,2.6,5.5,0.3,3.1,11.4,7.9,2.2,0
0.068621677,11.5,1,7.1,22,0,67,1.5,0,0.727,0.8,2.4,1.4,0.565,0,3.1,6.8,2.1,2.2,7.6,11.9,3.3,0
0.032077502,6.7,1,2.7,20,0,71,0.9,1,0.63,0.3,0.3,0.8,0.554,0,1.9,2.7,-0.1,1.7,13.5,3.9,3.9,1
0.030562424,7.9,1,3.4,21,0,59,1.1,1,0.642,0.5,0.5,0.8,0.53,0,2.3,2.3,0,1.6,11.4,5,3.3,1
0.187457396,23.1,0,7.5,24,0,50,1.8,1,0.738,0.8,1.6,1.7,0.532,0,5,4.9,2.1,3.4,10.6,8.8,3.5,0
0.02970124,12.7,1,3.3,24,0,79,1.6,1,0.743,0.6,1.2,0.5,0.504,0,3.6,1.1,-0.8,1.2,5.2,8.4,1.5,1
0.030269939,16.8,1,3.5,25,0,71,1.8,1,0.754,0.8,1.5,0.9,0.502,0,4.4,1.3,-1.4,1.7,5.2,6.9,1.7,0
0.008055798,5.8,1,1.3,23,0,36,0.9,1,0.805,0.3,0.9,0.1,0.52,0,1.1,0.4,-0.2,0.6,4.4,9.3,0.6,0
0.001922104,5.8,0,1.2,24,0,17,1.3,1,0.826,0.4,1.2,0,0.538,0,1.4,0.1,-0.2,0.6,4.9,13.8,0,0
0.016752112,3.7,0,0.7,23,0,6,0,1,0.833,0,0,0.2,0.446,0,1,0,-0.1,0.7,10.2,0,1.4,0
0.01707362,4.6,0,0.4,24,0,30,0.5,1,0.788,0.2,0.4,0,0.509,0,1.1,0.2,-0.2,0.6,8.2,6.4,0.3,0
0.012357649,4.2,0,1.4,24,0,43,1,1,0.687,0.3,0.3,0.2,0.554,0,1.9,0.2,-0.6,0.7,6.9,4,1.5,1
0.021750511,2.3,0,0.7,20,0,31,0.4,0,0.714,0.2,0.1,0.2,0.43,0,0.9,-0.1,-0.3,0.3,6.2,2.8,2.7,1
0.046323228,26,1,6.2,22,0,80,2.4,1,0.733,1,1.6,1.6,0.617,0,9.9,14.6,4.7,2.7,8.5,7.7,3,0
0.052303495,8.7,1,3.3,23,0,3,0.3,1,0.889,0.3,0.7,1,0.42,0,3,0.1,0,2,13.6,5.9,4.2,0
0.234402936,20.4,0,6.9,24,0,82,2.8,1,0.781,1,1,1.3,0.637,0,7.1,11.2,2.6,2.7,10.1,5,2.9,0
0.247398436,25.2,0,6.8,25,0,79,2.2,1,0.805,0.8,1.5,2.1,0.656,0,8.7,14.6,4.6,2.3,8.2,7.5,4,0
0.256826005,21.4,0,5.9,26,0,53,2.8,1,0.835,0.9,2,1.1,0.617,0,7.3,6.1,1.8,2.2,7.2,8.3,2.1,1
0.008055798,6.7,1,0.3,18,0,3,1.3,1,1,0,1,0.7,0.85,0,1.3,0.2,0,1,9,13.4,3.7,0
0.012500405,5.9,1,2.8,19,0,8,1.1,1,0.786,0.6,0.4,1.6,0.6,0,1.8,0.5,0.1,1.9,14.4,4.1,8.1,1
0.065911666,3.6,0,2.4,20,1,62,0.6,1,0.673,0.4,0.5,1.3,0.584,0,0.9,3,0.6,1.4,13.5,5.9,8.5,1
0.062485804,3.5,0,2.1,21,1,62,0.5,1,0.657,0.3,0.3,1,0.608,0,0.6,2.7,0.1,1.6,13.1,3.4,5.1,1
0.017962161,4.9,0,2.7,22,0,54,0.5,0,0.535,0.8,0.5,0.7,0.534,0,2.4,3,0.5,2,14.6,4.9,3.3,1
0.017511111,4.6,0,3.3,23,0,48,0.6,0,0.513,0.6,0.4,0.4,0.541,0,2.5,2.3,0.2,1.6,11.9,4,1.9,0
0.01779618,6.8,0,4.4,24,0,81,0.8,0,0.616,0.9,0.9,0.6,0.527,0,3.3,6.6,1,2.4,11.2,6,2.1,0
0.098576687,8.6,0,5.1,26,0,81,1,0,0.616,0.9,1,0.8,0.565,0,3.1,8,1.5,2,8.9,5.4,2.3,1
0.012500405,3.7,1,2,20,0,56,0.9,1,0.612,0.3,0.7,0.6,0.471,0,0.9,0.5,-0.3,1.4,12.6,8.8,3.6,1
0.044400503,7.5,0,3.2,21,0,82,1.4,1,0.695,0.6,1.1,1.4,0.512,0,1.9,3,0.1,2,11.2,9.2,5.7,1
0.046688292,10,0,3.5,22,0,71,1.6,1,0.704,0.7,1.7,1,0.508,0,2.3,1.4,0,1.8,8.5,11.8,3.5,0
0.012790167,3,0,1.7,26,0,33,0.4,1,0.449,0.2,0.2,0.1,0.502,0,1.5,0.4,-0.2,1.1,14.4,4.4,1,1
0.008782243,0.9,0,0.3,22,0,8,0.1,1,0.6,0,0,0,0.427,0,0.6,0,-0.1,0,0,0,0,0
0.043639845,9,1,4.6,21,0,82,1.7,1,0.743,1.7,3,0.6,0.58,0,2.6,6.6,2.3,1.1,3.7,14.3,1.4,0
0.041575758,12.3,1,4.4,22,0,82,1.9,1,0.754,1.6,3.1,0.3,0.598,0,4.3,7.5,2,1.4,4.4,12.9,0.5,0
0.041434836,18.2,1,4.7,23,0,76,3.4,1,0.82,2,5.7,0.4,0.562,0,7.3,7.7,3.4,1,3,23.8,0.8,0
0.050420439,19.9,1,4.4,24,0,82,2.6,1,0.721,2.1,4.8,0.6,0.543,0,6.2,9.6,4.9,1,3.1,20.3,1.2,0
0.19256987,18.8,0,4.6,25,0,82,2.7,1,0.724,1.6,5.3,0.4,0.56,0,6.4,9.2,4.3,1.1,3.3,22.4,0.9,0
0.167920378,13.6,0,2.9,28,0,82,2.7,1,0.838,1.5,6.9,0.1,0.541,1,3.7,7,2,1.2,4.1,32.2,0.2,0
0.163636364,13.7,0,3.2,29,0,82,3.1,1,0.738,1.3,8.2,0.2,0.532,1,5.2,6.2,1.7,1.1,3.7,36.2,0.5,0
0.164361212,13.4,0,3.2,30,0,80,2.8,1,0.784,1.4,7.8,0.1,0.52,1,3.5,5.9,1.7,1.2,3.9,34.3,0.3,0
0.168374366,17,0,2.8,31,0,82,2.5,1,0.772,1.3,6.9,0.1,0.537,1,4.1,8.3,2.9,1.2,3.7,32,0.2,0
0.176096353,16.3,0,3,32,0,82,2.4,1,0.826,1.3,6.5,0.2,0.548,1,5,8.8,3.3,1.5,4.9,30.2,0.4,0
0.084712525,11.6,1,3.1,21,0,65,1.6,0,0.824,0.5,0.8,0.8,0.546,0,2.2,1.9,0.1,0.8,3.7,5.1,2.5,1
0.086983282,10.2,1,3.1,22,0,78,1.1,0,0.84,0.3,1.1,0.5,0.495,0,2.2,1.4,-0.8,0.6,3.2,7.4,1.6,1
0.088214724,15.4,1,4.4,23,0,78,1.7,0,0.831,0.4,1.2,1.2,0.559,0,3.4,3.9,0.7,0.9,3.4,6.4,3.1,1
0.232690317,8.3,0,3.4,25,0,70,1.9,0,0.728,1.1,2.9,2.1,0.558,0,3.4,4.4,3,1.3,5.2,14.5,5.8,0
0.246899155,11,0,3,26,0,72,1.9,0,0.77,1.2,4,1.5,0.603,0,3.6,7.1,4,1.7,6.7,18.2,4,0
0.25743013,11.6,0,3.5,27,0,67,1.8,0,0.785,1.2,2.6,1.1,0.549,0,4.6,4.6,2.2,1.3,5.5,14.7,3.3,1
0.057556417,8.4,0,3.9,25,0,81,1.7,0,0.766,0.5,1.5,0.4,0.484,0,2.7,2.5,0,0.9,4.1,10.9,1.3,0
0.056060606,13,0,5,26,0,82,1.5,0,0.843,0.5,1.4,0.6,0.567,0,3,6.7,2.1,1.1,4.6,9,1.8,1
0.074338948,14.1,0,4.9,27,0,53,2,0,0.848,0.5,1.1,0.5,0.578,0,2.7,4.1,1,0.8,3.4,7,1.3,1
0.152795254,13.2,0,3.6,28,0,82,1.6,0,0.807,0.3,1.2,0.5,0.549,0,3,3.3,0.6,0.6,2.6,8.3,1.7,0
0.136332652,11.4,0,4,29,0,76,1.5,0,0.792,0.5,1.3,0.4,0.555,0,2.4,2.8,0,0.7,3.1,8.3,1.2,1
0.087687273,9.4,1,4.7,21,0,82,1.5,0,0.629,0.6,2.3,0.8,0.555,0,2.4,5.5,1.4,2.3,9.4,13.4,2.3,1
0.087813306,12.3,1,6.3,22,0,66,2.3,0,0.577,0.7,3,0.5,0.566,0,2.9,4,1.2,2.5,8.7,13.9,1.2,0
0.089727126,14.3,1,6.6,23,0,78,2.2,0,0.587,0.8,2.6,1.7,0.532,0,4.1,4.8,1.4,3.1,10.2,12.4,3.9,0
0.038155152,1.6,1,1,18,0,46,0.4,1,0.296,0.1,0.2,0.5,0.394,0,0.6,0.1,-0.4,0.7,11.9,4.1,5,0
0.039043681,13.1,1,7.2,20,0,35,1.5,1,0.695,0.3,1.7,2.1,0.659,0,3.4,4.8,1.6,3,12.1,9.6,5.1,0
0.047193252,14.3,1,5.2,21,0,50,1.7,1,0.707,0.4,1.4,1.8,0.598,0,4.3,5.5,1.1,2.7,10.8,7.7,4.8,0
0.039383633,3.6,0,2.4,18,0,30,0.4,0,0.475,0.4,0.4,0.8,0.57,0,1.3,1.2,0,1.6,12.7,4.9,4.4,0
0.037522424,3.8,0,2.3,19,0,68,0.5,0,0.306,0.3,0.4,0.7,0.595,0,1.1,2.9,0.1,1.8,13.5,3.9,3.5,0
0.047397016,10.5,0,6.4,21,0,76,1.1,0,0.62,0.7,1,1.2,0.637,0,2.5,8,1.6,3.4,12.7,5.2,3.3,0
0.018407705,2.7,0,0.9,29,0,66,0.9,1,0.686,0.5,2.4,0.3,0.454,1,0.8,0.5,0,0.2,1.9,32.2,1.7,0
0.019831476,7.8,0,2.5,32,0,70,1.8,1,0.753,1.5,5.5,0.4,0.531,1,1.2,3.8,1,0.4,1.5,27.4,1,0
