"Salary_Cap_Perc","fg","rookie_contract","bird_rights","age","fta","blk","g","US_Player","maximum_contract","ts_pct","drb","trb","pf","ast","pos_PG","usg_pct","bpm"
0.007930468,2.6,1,0,23,1.3,0.1,56,1,0,0.53,1.4,1.6,0.9,1.9,1,22.7,-0.5
0.013131331,2.3,1,0,24,1.6,0,50,1,0,0.454,1.1,1.4,1.2,2.2,1,22.7,-2.9
0.015249121,2.8,0,0,26,1.1,0.1,57,1,0,0.501,1.6,2,1.3,3.6,1,18,-0.6
0.019385095,7,1,0,25,3.6,0.2,82,1,0,0.549,2,2.6,2.4,5.3,1,25.7,0.7
0.017339636,1.3,0,0,25,0.9,0.3,32,1,0,0.551,1.9,3.3,1.7,0.7,0,16.4,-1.3
0.017725174,1.4,0,0,26,0.8,0.3,41,1,0,0.566,2.7,4.2,2.3,0.4,0,13.1,-4
0.043070774,1.7,0,0,27,1,0.3,49,1,0,0.526,4,5.7,2.6,0.6,0,13.5,-3.5
0.044362897,1.1,0,0,28,1,0.1,42,1,0,0.544,2,3.2,2,0.8,0,13.1,-4.3
0.045857547,0.7,0,0,29,0.5,0.2,37,1,0,0.466,1.9,3,1.7,0.6,0,12.5,-4.7
0.038408319,1.3,1,0,25,1.9,0,26,1,0,0.585,0.5,0.7,0.6,1,1,21.7,-1
0.011302288,1.6,0,0,26,1.3,0,51,1,0,0.502,1,1.2,1.2,1.6,1,15.7,-4
0.091113154,1,1,0,25,0.3,0.1,31,1,0,0.418,0.7,1,0.5,0.6,0,18.3,-4.7
0.04416167,2,1,0,20,1.5,0.3,81,1,0,0.499,2.4,3.3,1.5,0.7,0,17.3,-2.8
0.047473641,2.3,1,0,21,1.7,0.5,66,1,0,0.481,3.2,4.7,2.1,1,0,16.2,-2.2
0.050785611,3,1,0,22,1.8,0.7,76,1,0,0.519,5.9,7.7,2,1.4,0,14.6,-0.1
0.063054926,2.9,0,1,23,1.7,0.5,80,1,0,0.516,4.6,6.2,1.8,1.4,0,14.3,-0.6
0.074655806,5.8,1,0,23,3.3,1.1,81,0,0,0.594,7,9.9,2.8,2.3,0,17.6,2.3
0.093805682,6.7,1,0,24,2.4,1,77,0,0,0.587,7,9.3,2.5,3.5,0,19.7,3.6
0.206739715,7.8,0,1,26,2.8,1.1,74,0,0,0.56,7.6,10.2,2.2,3.2,0,21.8,1.9
0.204502463,8.2,0,1,27,2.9,1.5,29,0,0,0.588,6.1,8.4,1.9,2.6,0,24.7,3
0.20797227,7.4,0,0,25,3.5,1.3,76,1,0,0.524,6.9,9.3,2.7,1.8,0,24.3,0.4
0.223968024,8,0,0,26,3.5,1.9,82,1,0,0.528,6.8,9.7,2.9,1.8,0,24.2,0.6
0.241196334,8.5,0,0,27,2.9,1.7,61,1,0,0.52,7.4,9.6,2.5,2.2,0,25.7,3.7
0.258424643,7.8,0,0,28,2.8,1.1,78,1,0,0.522,7.2,9.2,2.2,2.1,0,25.3,2.4
0.23006527,9.6,0,0,29,3.8,1.1,73,1,0,0.532,8.7,10.8,2.4,2.1,0,29.3,2.7
0.04848384,2.9,0,0,27,2,0.2,71,1,0,0.531,2.2,3,2,0.9,0,17.8,-3.3
0.015249121,3.6,0,0,30,2.3,0.1,65,1,0,0.509,1.8,2.3,2,1.6,0,23.6,-1.8
0.01615411,2.5,0,0,31,1.5,0.1,78,1,0,0.525,1.7,2.2,1.9,1,0,15.9,-2.8
0.018574003,1.1,0,0,25,1.4,0,15,1,0,0.529,0.3,0.7,0.4,0.3,0,24.4,-4
0.034804631,2.6,1,0,20,2.4,0.1,59,1,0,0.506,1.3,2.2,1.4,0.9,0,22.5,-2
0.037413686,2.5,1,0,21,2,0.2,64,1,0,0.507,1.7,2.3,1.8,1.4,0,20.7,-2.6
0.037526202,4.9,1,0,22,4.8,0.2,78,1,0,0.547,2.5,3.3,2.4,2.7,0,23.9,-0.8
0.059522487,0.8,1,0,20,0.7,0.4,42,0,0,0.469,1.4,2.4,1.6,0.1,0,14.3,-6.6
0.05055837,3.1,1,0,24,1.9,0.4,77,0,0,0.474,1.7,2.3,1.5,3.7,0,20.6,-1.7
0.053681896,1.2,1,0,25,1.4,0.3,63,0,0,0.452,1,1.3,0.6,1.1,0,20.8,-1.9
