"Salary_Cap_Perc","pts","bird_rights","maximum_contract","age","gs","drb","three_p_pct","pf","mp","rookie_contract","super_max_contract","pos_C","pos_PF","fta","fga","US_Player","pos_PG","ast","ast_pct","trb_pct","stl","stl_pct","ft_pct","three_pa","tov_pct","usg_pct"
0.000991866,5.1,0,0,28,0,1,0.263,0.6,12.5,0,0,0,0,0.9,5.3,1,1,1.8,23.5,5.6,0.3,1.1,0.667,2.2,8.7,22.5
0.018166733,11.6,0,0,30,21,1.6,0.387,2.3,23,0,0,0,0,2.1,10,1,1,3.2,24.2,4.8,0.7,1.5,0.833,3.8,14.9,25
0.028679774,5,0,0,32,0,0.8,0.375,1.4,13.8,0,0,0,0,0.6,4.6,1,1,1.9,20.7,4.3,0.4,1.4,0.8,2,17.2,19.2
0.063300404,5.2,0,0,19,8,2.6,0.271,1.8,17,1,0,0,1,1.3,4.4,1,0,0.7,6.3,12,0.4,1.3,0.721,1,13.9,15.5
0.059595429,9.2,0,0,20,37,4.5,0.296,2,23.9,1,0,0,1,2.5,7.4,1,0,1.6,10.3,15.1,0.8,1.6,0.668,1.8,9,17.3
0.046220324,12.7,0,0,21,72,3.6,0.288,2.2,28.7,1,0,0,0,2.7,10.8,1,0,1.9,10.5,9.6,0.8,1.4,0.719,3.3,8.5,20.1
0.055548021,17.6,0,0,22,57,6.4,0.336,1.9,32.9,1,0,0,1,3.9,14.9,1,0,2.3,11.7,13.2,1,1.5,0.698,5.9,10,24.7
0.211947786,16,1,0,23,78,5.7,0.349,2.2,33.8,0,0,0,1,3.2,13.4,1,0,3.7,16.6,11.7,0.7,1.1,0.731,4.4,12.3,21.8
0.182001429,14.4,1,0,24,62,5.9,0.308,2,32.5,0,0,0,1,3.6,12.4,1,0,3.7,17.4,12.7,0.8,1.2,0.674,3.8,10.4,20.7
0.003989452,0.2,0,0,22,0,0.6,0,0.4,3.4,1,0,0,0,0.4,0.8,1,0,0.6,22.6,9.7,0,0,0.5,0.4,0,12.9
0.018768811,5.9,0,0,22,0,1.2,0.339,1.4,12.9,1,0,0,0,1,5.2,1,1,1.7,19.3,5.8,0.4,1.6,0.82,2.5,12.3,21.9
0.020516767,9.5,0,0,23,33,2,0.394,1.8,24.5,1,0,0,0,1.3,8.5,1,1,3.4,19.1,5.3,0.8,1.7,0.851,3.3,12.8,18.7
0.011780176,3,0,0,24,1,1.2,0.354,0.9,10.9,0,0,0,0,0.8,3.1,0,0,0.5,7.1,7.4,0.3,1.4,0.59,1.4,17,17.1
0.013529553,4,0,0,25,1,1.7,0.32,1.1,11.4,0,0,0,0,0.6,3.5,0,0,0.3,3.8,8.6,0.3,1.3,0.75,1.6,10.1,15.1
0.000465017,2.9,0,0,21,0,0.3,0.4,1.5,10.2,0,0,0,0,0.4,2.5,0,0,0.4,5,4.9,0.4,1.7,0.5,1.4,6.3,12.1
0.009162544,3,0,0,22,2,1.2,0.311,1.5,11.2,1,0,0,1,0.5,2.8,0,0,0.5,5.3,7,0.2,1,0.667,1.8,6.6,11.9
0.029419171,6.7,0,0,23,22,3.6,0.111,2.8,23.1,1,0,0,1,1.4,6.9,1,0,0.9,6.4,12.5,0.6,1.3,0.652,0.3,15.5,17
0.027697714,2.5,0,0,24,2,1.8,0.281,1.5,9.3,1,0,0,1,0.5,2.8,1,0,0.6,8.9,13.3,0.3,1.7,0.654,0.6,18.7,17.7
0.021480514,3.5,0,0,25,0,1.3,0.2,1.8,7.5,1,0,0,1,1.1,3,1,0,0.4,8,14.3,0.4,3,0.737,0.8,11.4,23.1
0.000132764,4.2,0,0,26,0,1.4,0.667,1.2,8.6,0,0,0,1,1.2,2,1,0,0,0,11.5,0.4,2.3,0.833,0.6,13.7,15
0.015556711,5.6,0,0,24,3,3.1,0.274,1.9,18.5,0,0,0,0,1.6,4.8,1,0,0.8,6.1,13.7,0.9,2.6,0.712,1.7,11.9,15.2
0.107142857,10.2,0,0,25,82,4.9,0.361,2.1,28.5,0,0,0,0,1.9,8.8,1,0,1.7,8.8,11.5,0.9,1.5,0.737,4.3,13.2,16.9
0.081588275,8.7,0,0,26,25,6.1,0.33,1.7,29.1,0,0,0,1,2.2,7.6,1,0,1.6,7.9,14.1,1,1.7,0.706,3.5,15.2,15.4
0.073860263,9.3,0,0,27,67,6.2,0.369,2,30,0,0,0,1,1.2,8.4,1,0,1.2,5.8,13.8,1.1,1.9,0.738,4.9,11.3,14.8
0.068294623,9.4,0,0,28,81,6.1,0.343,1.8,28.3,0,0,0,1,2.1,7.3,1,0,1.3,6,14.2,0.8,1.4,0.867,3.5,9.7,13.7
0.084826828,4.3,0,0,29,2,3.5,0.25,1.5,21.1,0,0,0,1,1.6,4.8,1,0,1.2,7.4,12.3,1,2.3,0.655,2,14.7,13.2
0.19027987,15.2,1,0,28,76,5.4,0.306,1.6,30.5,0,0,1,0,1.9,12.7,0,0,3.2,18.6,13.4,0.9,1.5,0.759,0.5,8.9,22.2
0.171428571,15.2,1,0,29,82,5.5,0.344,2,32.1,0,0,1,0,1.6,12.8,0,0,3.2,16.7,12.4,0.8,1.3,0.798,3.1,8.8,20.6
0.281912622,14,0,1,30,68,5.4,0.355,2,32.3,0,0,1,0,2,11.8,0,0,5,24.4,11.8,0.8,1.2,0.8,3.6,11.8,19.7
0.279882585,12.9,0,1,31,72,5.9,0.429,1.9,31.6,0,0,1,0,1.7,10.5,0,0,4.7,23.6,12.7,0.6,0.9,0.783,3.1,14.1,18.4
0.283979523,13.6,0,1,32,68,5,0.36,1.9,29,0,0,1,0,1.4,10.6,0,0,4.2,21.2,12.4,0.9,1.4,0.821,3,11.8,18.9
0.256551219,11.9,0,0,33,61,5.3,0.35,2.1,30.2,0,0,1,0,1.2,10.6,0,0,4,19.2,12.4,0.8,1.2,0.763,4.2,9.7,17.5
0.216707635,16.6,0,0,30,61,6.9,0.4,2.1,30.6,0,0,1,0,2.5,15.5,1,0,1.7,11.6,15.1,0.7,1.2,0.655,0.1,5.9,26.3
0.197619043,12,0,0,31,18,5.2,0,2.5,23.3,0,0,1,0,2.4,10.7,1,0,1.5,11.8,15,0.6,1.4,0.649,0,5.8,24.2
0.10866638,8.1,0,0,32,1,3.1,0,1.9,14.1,0,0,1,0,1.3,7.1,1,0,0.9,11,16.8,0.3,1,0.765,0,6.1,26.1
0.098592443,7,0,0,33,1,3.1,0,1.8,13.4,0,0,1,0,1,5.8,1,0,0.8,10,16.7,0.4,1.7,0.833,0.1,8.6,22.5
0.02023406,7.4,0,0,32,19,2.3,0.348,2,23.6,0,0,0,0,1.4,5.9,1,0,1.1,7.2,6.6,0.8,1.7,0.812,2.8,11,14.2
0.057142857,5,0,0,33,0,2,0.324,1.9,14.8,0,0,0,0,1.2,4.5,1,0,1.1,10.3,7.9,0.3,1,0.733,2.8,3,15.4
0.001632643,2.9,0,0,23,0,2.4,0,1.5,6.8,0,0,0,1,1.4,2.4,1,0,0.5,11.7,30.3,0.4,2.9,0.643,0,16.6,22.6
0.009290505,7.4,0,0,24,0,4.2,0,2.7,15.1,0,0,1,0,2.4,5.7,1,0,0.5,5.2,22.4,0.6,1.8,0.625,0,10.5,20.9
0.060549181,4,0,0,25,0,3.8,0,2.6,14,0,0,0,1,1.8,3.6,1,0,1.6,16.3,16.8,1,3.4,0.667,0,24.2,17.5
4.65e-05,3.6,0,0,26,0,3,0,0.4,5.2,0,0,0,1,0.8,2.6,1,0,0.6,22.3,38.4,0.2,1.8,0.5,0.2,6.3,25.5
0.1316212,13.3,1,0,24,3,3,0.405,2.3,25.7,0,0,0,0,4.5,10.8,1,0,2,13.9,8,0.6,1.2,0.752,2.5,11.4,25.9
0.107862454,6.7,1,0,25,0,2.5,0.329,1.2,15.5,0,0,0,0,1.9,5.9,1,0,0.7,7.5,10.6,0.4,1.4,0.769,1.8,11,22.7
0.109447751,7.7,1,0,26,1,2.7,0.331,1.2,16.5,0,0,0,0,1.9,6.5,1,0,1,10,10.3,0.6,1.8,0.863,2.2,11.4,22.5
