Season;Salary_Cap
1984-85;$3,600,000
1985-86;$4,233,000
1986-87;$4,945,000
1987-88;$6,164,000
1988-89;$7,232,000
1989-90;$9,802,000
1990-91;$11,871,000
1991-92;$12,500,000
1992-93;$14,000,000
1993-94;$15,175,000
1994-95;$15,964,000
1995-96;$23,000,000
1996-97;$24,363,000
1997-98;$26,900,000
1998-99;$30,000,000
1999-00;$34,000,000
2000-01;$35,500,000
2001-02;$42,500,000
2002-03;$40,271,000
2003-04;$43,840,000
2004-05;$43,870,000
2005-06;$49,500,000
2006-07;$53,135,000
2007-08;$55,630,000
2008-09;$58,680,000
2009-10;$57,700,000
2010-11;$58,044,000
2011-12;$58,044,000
2012-13;$58,044,000
2013-14;$58,679,000
2014-15;$63,065,000
2015-16;$70,000,000
2016-17;$94,143,000
2017-18;$99,093,000
2018-19;$101,869,000
2019-20;$109,140,000
2020-21;$109,140,000
2021-22;$112,414,000
