player_name,season,starting_year,ending_year,signed_using
Giannis Antetokounmpo,2025-26,2025,2026,Designated Player Veteran Extension/Bird
Giannis Antetokounmpo,2024-25,2024,2025,Designated Player Veteran Extension/Bird
Giannis Antetokounmpo,2023-24,2023,2024,Designated Player Veteran Extension/Bird
Giannis Antetokounmpo,2022-23,2022,2023,Designated Player Veteran Extension/Bird
Giannis Antetokounmpo,2020-21,2020,2021,Rookie Extension/Bird
Giannis Antetokounmpo,2019-20,2019,2020,Rookie Extension/Bird
Giannis Antetokounmpo,2018-19,2018,2019,Rookie Extension/Bird
Giannis Antetokounmpo,2017-18,2017,2018,Rookie Extension/Bird
Giannis Antetokounmpo,2016-17,2016,2017,Entry Level/Rookie
Giannis Antetokounmpo,2015-16,2015,2016,Entry Level/Rookie
Giannis Antetokounmpo,2014-15,2014,2015,Entry Level/Rookie
Giannis Antetokounmpo,2013-14,2013,2014,Entry Level/Rookie
Stephen Curry,2025-26,2025,2026,Designated Player Veteran Extension/Bird
Stephen Curry,2024-25,2024,2025,Designated Player Veteran Extension/Bird
Stephen Curry,2023-24,2023,2024,Designated Player Veteran Extension/Bird
Stephen Curry,2022-23,2022,2023,Designated Player Veteran Extension/Bird
Stephen Curry,2020-21,2020,2021,Designated Player Veteran Extension/Bird
Stephen Curry,2019-20,2019,2020,Designated Player Veteran Extension/Bird
Stephen Curry,2018-19,2018,2019,Designated Player Veteran Extension/Bird
Stephen Curry,2017-18,2017,2018,Designated Player Veteran Extension/Bird
Stephen Curry,2016-17,2016,2017,Rookie Extension/Bird
Stephen Curry,2015-16,2015,2016,Rookie Extension/Bird
Stephen Curry,2014-15,2014,2015,Rookie Extension/Bird
Stephen Curry,2013-14,2013,2014,Rookie Extension/Bird
Stephen Curry,2012-13,2012,2013,Entry Level/Rookie
Stephen Curry,2011-12,2011,2012,Entry Level/Rookie
Stephen Curry,2010-11,2010,2011,Entry Level/Rookie
Stephen Curry,2009-10,2009,2010,Entry Level/Rookie
Luka Doncic,2026-27,2026,2027,Entry Level/Rookie
Luka Doncic,2025-26,2025,2026,Entry Level/Rookie
Luka Doncic,2024-25,2024,2025,Entry Level/Rookie
Luka Doncic,2023-24,2023,2024,Entry Level/Rookie
Luka Doncic,2022-23,2022,2023,Entry Level/Rookie
Luka Doncic,2020-21,2020,2021,Entry Level/Rookie
Luka Doncic,2019-20,2019,2020,Entry Level/Rookie
Luka Doncic,2018-19,2018,2019,Entry Level/Rookie
Russell Westbrook,2022-23,2022,2023,Designated Player Veteran Extension/Bird
Russell Westbrook,2020-21,2020,2021,Designated Player Veteran Extension/Bird
Russell Westbrook,2019-20,2019,2020,Designated Player Veteran Extension/Bird
Russell Westbrook,2018-19,2018,2019,Designated Player Veteran Extension/Bird
Russell Westbrook,2017-18,2017,2018,Maximum Extension/Bird
Russell Westbrook,2016-17,2016,2017,Maximum Extension/Bird
Russell Westbrook,2015-16,2015,2016,Maximum Extension/Bird
Russell Westbrook,2014-15,2014,2015,Maximum Extension/Bird
